timestamp,available_cash,open_positions_count,open_positions_value,total_equity,realized_pnl,unrealized_pnl,wins_count,losses_count,win_rate_pct
2026-08-30 11:16:47 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:17:18 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:17:49 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:18:24 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:19:22 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:19:54 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:20:28 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:21:06 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:21:43 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:22:22 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:23:06 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:23:44 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:24:24 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:24:59 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:25:37 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:26:11 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:26:52 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:27:39 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:28:21 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
2026-08-30 11:28:59 UTC,100.00,0,0.00,100.00,0.0000,0.0000,0,0,0.0
